Date,AAPL,MSFT,GOOGL,AMZN,TSLA
2020-01-02 00:00:00-05:00,72.79602813720703,153.93820190429688,68.18681335449219,94.90049743652344,28.68400001525879
2020-01-03 00:00:00-05:00,72.08830261230469,152.02142333984375,67.83010864257812,93.74849700927734,29.534000396728516
2020-01-06 00:00:00-05:00,72.6626968383789,152.41439819335938,69.63805389404297,95.14399719238281,30.1026668548584
2020-01-07 00:00:00-05:00,72.32099914550781,151.02468872070312,69.50354766845703,95.34300231933594,31.270666122436523
2020-01-08 00:00:00-05:00,73.48435974121094,153.43026733398438,69.99825286865234,94.59850311279297,32.80933380126953
2020-01-09 00:00:00-05:00,75.04522705078125,155.34703063964844,70.73308563232422,95.05249786376953,32.089332580566406
2020-01-10 00:00:00-05:00,75.21487426757812,154.62823486328125,71.18993377685547,94.15799713134766,31.876667022705078
2020-01-13 00:00:00-05:00,76.8218002319336,156.48753356933594,71.74143981933594,94.56500244140625,34.990665435791016
2020-01-14 00:00:00-05:00,75.78443908691406,155.3853759765625,71.2711410522461,93.47200012207031,35.861331939697266
2020-01-15 00:00:00-05:00,75.45966339111328,156.39170837402344,71.70008087158203,93.10099792480469,34.56666564941406
2020-01-16 00:00:00-05:00,76.40491485595703,159.25733947753906,72.24610900878906,93.89700317382812,34.232666015625
2020-01-17 00:00:00-05:00,77.25079345703125,160.14862060546875,73.70880126953125,93.23600006103516,34.03333282470703
2020-01-21 00:00:00-05:00,76.7272720336914,159.57359313964844,73.84481048583984,94.5999984741211,36.47999954223633
2020-01-22 00:00:00-05:00,77.00113677978516,158.806884765625,73.92550659179688,94.37300109863281,37.97066879272461
2020-01-23 00:00:00-05:00,77.37197875976562,159.7844696044922,73.96636199951172,94.22899627685547,38.14666748046875
2020-01-24 00:00:00-05:00,77.14900207519531,158.17434692382812,73.04371643066406,93.08200073242188,37.654666900634766
2020-01-27 00:00:00-05:00,74.88040161132812,155.52914428710938,71.32793426513672,91.41699981689453,37.201332092285156
2020-01-28 00:00:00-05:00,76.99871826171875,158.57687377929688,72.2630386352539,92.6624984741211,37.793331146240234
2020-01-29 00:00:00-05:00,78.61048126220703,161.04954528808594,72.5719223022461,92.9000015258789,38.732666015625
2020-01-30 00:00:00-05:00,78.4965591430664,165.5923614501953,72.44985961914062,93.53399658203125,42.72066879272461
2020-01-31 00:00:00-05:00,75.0161361694336,163.14842224121094,71.38024139404297,100.43599700927734,43.371334075927734
2020-02-03 00:00:00-05:00,74.81010437011719,167.1258087158203,73.86224365234375,100.20999908447266,52.0
2020-02-04 00:00:00-05:00,77.27985382080078,172.62698364257812,72.00946044921875,102.4834976196289,59.137332916259766
2020-02-05 00:00:00-05:00,77.91004943847656,172.41616821289062,72.04134368896484,101.99349975585938,48.97999954223633
2020-02-06 00:00:00-05:00,78.82135772705078,175.990966796875,73.53194427490234,102.5114974975586,49.930667877197266
2020-02-07 00:00:00-05:00,77.74996948242188,176.24017333984375,73.68836975097656,103.96399688720703,49.871334075927734
2020-02-10 00:00:00-05:00,78.11923217773438,180.85011291503906,75.1605453491211,106.69550323486328,51.41866683959961
2020-02-11 00:00:00-05:00,77.64791107177734,176.76730346679688,75.23027801513672,107.54000091552734,51.62533187866211
2020-02-12 00:00:00-05:00,79.49186706542969,177.0260772705078,75.65724182128906,108.0,51.15266799926758
2020-02-13 00:00:00-05:00,78.92581939697266,176.0676727294922,75.39618682861328,107.49349975585938,53.599998474121094
2020-02-14 00:00:00-05:00,78.94525909423828,177.63946533203125,75.66221618652344,106.74349975585938,53.33533477783203
2020-02-18 00:00:00-05:00,77.49972534179688,179.4412384033203,75.69759368896484,107.78350067138672,57.22666549682617
2020-02-19 00:00:00-05:00,78.62212371826172,179.97943115234375,75.96810913085938,108.51100158691406,61.16133117675781
2020-02-20 00:00:00-05:00,77.81553649902344,177.23089599609375,75.57553100585938,107.65499877929688,59.96066665649414
2020-02-21 00:00:00-05:00,76.05421447753906,171.6281280517578,73.90507507324219,104.79850006103516,60.06666564941406
2020-02-24 00:00:00-05:00,72.44158172607422,164.2283477783203,70.736572265625,100.4645004272461,55.58599853515625
2020-02-25 00:00:00-05:00,69.98783874511719,161.5182342529297,69.06562805175781,98.63700103759766,53.32733154296875
2020-02-26 00:00:00-05:00,71.09810638427734,163.53640747070312,69.27237701416016,98.97949981689453,51.91999816894531
2020-02-27 00:00:00-05:00,66.4505386352539,152.01380920410156,65.51001739501953,94.21499633789062,45.266666412353516
2020-02-28 00:00:00-05:00,66.41167449951172,155.6945343017578,66.72063446044922,94.1875,44.53266525268555
2020-03-02 00:00:00-05:00,72.59464263916016,166.0542755126953,69.06562805175781,97.69750213623047,49.574668884277344
2020-03-03 00:00:00-05:00,70.28909301757812,158.0970458984375,66.6444091796875,95.44950103759766,49.70066833496094
2020-03-04 00:00:00-05:00,73.54942321777344,163.90159606933594,68.83048248291016,98.79149627685547,49.96666717529297
2020-03-05 00:00:00-05:00,71.16371154785156,159.78842163085938,65.50055694580078,96.20149993896484,48.30266571044922
2020-03-06 00:00:00-05:00,70.21863555908203,155.27163696289062,64.55299377441406,95.05449676513672,46.89866638183594
2020-03-09 00:00:00-04:00,64.66490936279297,144.74850463867188,60.56993103027344,90.03050231933594,40.53333282470703
2020-03-10 00:00:00-04:00,69.3221664428711,154.64698791503906,63.52820587158203,94.59100341796875,43.02199935913086
2020-03-11 00:00:00-04:00,66.91455841064453,147.64112854003906,60.32630920410156,91.04299926757812,42.28200149536133
